from_source_line_id,from_source_station_id,from_source_station_key,from_station_name,to_source_line_id,to_source_station_id,to_source_station_key,to_station_name,transfer_duration_seconds,straight_distance_meters,duration_is_estimated
S1109,4123,S1109|4123,고속터미널,S1107,0734,S1107|0734,고속터미널,427,297,True
I1103,0344,I1103|0344,도곡,I4105,1025,I4105|1025,도곡역,210,36,True
I4105,1025,I4105|1025,도곡역,I1103,0344,I1103|0344,도곡,210,36,True
I1103,0349,I1103|0349,수서,I4105,1030,I4105|1030,수서역,241,73,True
I4105,1030,I4105|1030,수서역,I1103,0349,I1103|0349,수서,241,73,True
I1103,0350,I1103|0350,가락시장,S1108,0817,S1108|0817,가락시장,257,92,True
S1108,0817,S1108|0817,가락시장,I1103,0350,I1103|0350,가락시장,257,92,True
I1103,0352,I1103|0352,오금,S1105,P552,S1105|P552,오금,228,57,True
S1105,P552,S1105|P552,오금,I1103,0352,I1103|0352,오금,228,57,True
I1104,0411,I1104|0411,노원,S1107,0713,S1107|0713,노원,435,306,True
S1107,0713,S1107|0713,노원,I1104,0411,I1104|0411,노원,435,306,True
I1104,0412,I1104|0412,창동,I4102,1022,I4102|1022,창동역,229,58,True
I4102,1022,I4102|1022,창동역,I1104,0412,I1104|0412,창동,229,58,True
I1104,0418,I1104|0418,성신여대입구(돈암),L11UI,S120,L11UI|S120,성신여대입구,226,55,True
L11UI,S120,L11UI|S120,성신여대입구,I1104,0418,I1104|0418,성신여대입구(돈암),226,55,True
I1104,0428,I1104|0428,삼각지(전쟁기념관),S1106,0628,S1106|0628,삼각지(전쟁기념관),306,152,True
S1106,0628,S1106|0628,삼각지(전쟁기념관),I1104,0428,I1104|0428,삼각지(전쟁기념관),306,152,True
I1104,0431,I1104|0431,동작(현충원),S1109,4120,S1109|4120,동작(현충원),333,184,True
S1109,4120,S1109|4120,동작(현충원),I1104,0431,I1104|0431,동작(현충원),333,184,True
I1104,0432,I1104|0432,총신대입구(이수),S1107,0736,S1107|0736,총신대입구(이수),393,256,True
S1107,0736,S1107|0736,총신대입구(이수),I1104,0432,I1104|0432,총신대입구(이수),393,256,True
S1105,0525,S1105|0525,신길,I4101,1032,I4101|1032,신길역,398,261,True
I4101,1032,I4101|1032,신길역,S1105,0525,S1105|0525,신길,398,261,True
S1105,0526,S1105|0526,여의도,S1109,4115,S1109|4115,여의도,193,15,True
S1109,4115,S1109|4115,여의도,S1105,0526,S1105|0526,여의도,193,15,True
S1105,0537,S1105|0537,청구,S1106,0634,S1106|0634,청구,182,2,True
S1106,0634,S1106|0634,청구,S1105,0537,S1105|0537,청구,182,2,True
S1105,0544,S1105|0544,군자(능동),S1107,0725,S1107|0725,군자(능동),187,9,True
S1107,0725,S1107|0725,군자(능동),S1105,0544,S1105|0544,군자(능동),187,9,True
S1105,0547,S1105|0547,천호(풍납토성),S1108,0811,S1108|0811,천호(풍납토성),245,79,True
S1108,0811,S1108|0811,천호(풍납토성),S1105,0547,S1105|0547,천호(풍납토성),245,79,True
S1106,0627,S1106|0627,효창공원앞,I4108,1261,I4108|1261,효창공원앞역,266,103,True
I4108,1261,I4108|1261,효창공원앞역,S1106,0627,S1106|0627,효창공원앞,266,103,True
S1106,0638,S1106|0638,보문,L11UI,S121,L11UI|S121,보문,206,31,True
L11UI,S121,L11UI|S121,보문,S1106,0638,S1106|0638,보문,206,31,True
S1106,0644,S1106|0644,석계,I4102,1018,I4102|1018,석계역,215,42,True
I4102,1018,I4102|1018,석계역,S1106,0644,S1106|0644,석계,215,42,True
S1106,0645,S1106|0645,태릉입구,S1107,0717,S1107|0717,태릉입구,300,144,True
S1107,0717,S1107|0717,태릉입구,S1106,0645,S1106|0645,태릉입구,300,144,True
S1106,0648,S1106|0648,신내,I41K2,1311,I41K2|1311,신내역,261,98,True
I41K2,1311,I41K2|1311,신내역,S1106,0648,S1106|0648,신내,261,98,True
S1107,0710,S1107|0710,도봉산,I4102,1903,I4102|1903,도봉산역,237,69,True
I4102,1903,I4102|1903,도봉산역,S1107,0710,S1107|0710,도봉산,237,69,True
S1107,0720,S1107|0720,상봉,I4108,1202,I4108|1202,상봉역,281,121,True
I4108,1202,I4108|1202,상봉역,S1107,0720,S1107|0720,상봉,281,121,True
S1107,0720,S1107|0720,상봉,I4108,1202,I4108|1202,상봉역,220,48,True
I4108,1202,I4108|1202,상봉역,S1107,0720,S1107|0720,상봉,220,48,True
S1107,0730,S1107|0730,강남구청,I4105,1849,I4105|1849,강남구청역,243,75,True
I4105,1849,I4105|1849,강남구청역,S1107,0730,S1107|0730,강남구청,243,75,True
S1107,0746,S1107|0746,가산디지털단지,I4101,1702,I4101|1702,가산디지털단지역,291,133,True
I4101,1702,I4101|1702,가산디지털단지역,S1107,0746,S1107|0746,가산디지털단지,291,133,True
S1107,0750,S1107|0750,온수(성공회대입구),I1101,1821,I1101|1821,온수역,201,25,True
I1101,1821,I1101|1821,온수역,S1107,0750,S1107|0750,온수(성공회대입구),201,25,True
S1108,0815,S1108|0815,석촌,S1109,4133,S1109|4133,석촌,210,36,True
S1109,4133,S1109|4133,석촌,S1108,0815,S1108|0815,석촌,210,36,True
S1108,0820,S1108|0820,복정,I4105,1031,I4105|1031,복정역,297,141,True
I4105,1031,I4105|1031,복정역,S1108,0820,S1108|0820,복정,297,141,True
S1108,0827,S1108|0827,모란,I4105,1853,I4105|1853,모란역,364,221,True
I4105,1853,I4105|1853,모란역,S1108,0827,S1108|0827,모란,364,221,True
S1105,P550,S1105|P550,올림픽공원(한국체대),S1109,4136,S1109|4136,올림픽공원(한국체대),227,56,True
S1109,4136,S1109|4136,올림픽공원(한국체대),S1105,P550,S1105|P550,올림픽공원(한국체대),227,56,True
S1109,4127,S1109|4127,선정릉,I4105,1850,I4105|1850,선정릉역,226,55,True
I4105,1850,I4105|1850,선정릉역,S1109,4127,S1109|4127,선정릉,226,55,True
S1109,4117,S1109|4117,노량진,I4101,1004,I4101|1004,노량진역,247,80,True
I4101,1004,I4101|1004,노량진역,S1109,4117,S1109|4117,노량진,247,80,True
L41U1,U111,L41U1|U111,회룡,I4102,1905,I4102|1905,회룡역,282,122,True
I4102,1905,I4102|1905,회룡역,L41U1,U111,L41U1|U111,회룡,282,122,True
S2801,3118,S2801|3118,부평구청,S1107,3761,S1107|3761,부평구청,310,156,True
S1107,3761,S1107|3761,부평구청,S2801,3118,S2801|3118,부평구청,310,156,True
S2801,3120,S2801|3120,부평,I1101,1806,I1101|1806,부평역,311,157,True
I1101,1806,I1101|1806,부평역,S2801,3120,S2801|3120,부평,311,157,True
S2801,3124,S2801|3124,인천시청,S2802,3221,S2802|3221,인천시청,263,100,True
S2802,3221,S2802|3221,인천시청,S2801,3124,S2801|3124,인천시청,263,100,True
S2801,3130,S2801|3130,원인재,I28K1,1884,I28K1|1884,원인재역,266,104,True
I28K1,1884,I28K1|1884,원인재역,S2801,3130,S2801|3130,원인재,266,104,True
S2802,3213,S2802|3213,석남(거북시장),S1107,3763,S1107|3763,석남(거북시장),273,112,True
S1107,3763,S1107|3763,석남(거북시장),S2802,3213,S2802|3213,석남(거북시장),273,112,True
S2802,3218,S2802|3218,주안,I1101,1809,I1101|1809,주안역,303,148,True
I1101,1809,I1101|1809,주안역,S2802,3218,S2802|3218,주안,303,148,True
S2802,3218,S2802|3218,주안,I1101,1809,I1101|1809,주안역,303,148,True
I1101,1809,I1101|1809,주안역,S2802,3218,S2802|3218,주안,303,148,True
I1101,1809,I1101|1809,주안역,I1101,1809,I1101|1809,주안역,180,0,True
I1101,1809,I1101|1809,주안역,I1101,1809,I1101|1809,주안역,180,0,True
S1107,3754,S1107|3754,부천종합운동장,I41WS,1982,I41WS|1982,부천종합운동장역,225,54,True
I41WS,1982,I41WS|1982,부천종합운동장역,S1107,3754,S1107|3754,부천종합운동장,225,54,True
I4102,1015,I4102|1015,회기역,I4108,1015,I4108|1015,회기역,199,22,True
I4108,1015,I4108|1015,회기역,I4102,1015,I4102|1015,회기역,199,22,True
I4102,1019,I4102|1019,광운대역,I4108,1019,I4108|1019,광운대역,214,40,True
I4108,1019,I4108|1019,광운대역,I4102,1019,I4102|1019,광운대역,214,40,True
I4102,1019,I4102|1019,광운대역,I4108,1019,I4108|1019,광운대역,194,16,True
I4108,1019,I4108|1019,광운대역,I4102,1019,I4102|1019,광운대역,194,16,True
I4108,1203,I4108|1203,망우역,I41K2,1203,I41K2|1203,망우역,248,82,True
I41K2,1203,I41K2|1203,망우역,I4108,1203,I4108|1203,망우역,248,82,True
I4108,1271,I4108|1271,능곡역,I41WS,1271,I41WS|1271,능곡역,201,26,True
I41WS,1271,I41WS|1271,능곡역,I4108,1271,I4108|1271,능곡역,201,26,True
I4108,1272,I4108|1272,곡산역,I41WS,1272,I41WS|1272,곡산역,180,0,True
I41WS,1272,I41WS|1272,곡산역,I4108,1272,I4108|1272,곡산역,180,0,True
